,beta_acc,beta_inf_time,ee_prob,threshold,n_branches_edge,beta,calib_mode,overhead,temp_branch_1
0,0.7560856069269727,37.38329559628959,0,0.7,1,60,overall_acc_beta_calib,5,1.077290510837816
0,0.7562489789250123,37.385663945522744,0,0.7,1,65,overall_acc_beta_calib,5,1.0778867923850577
0,0.7562489789250123,37.385663945522744,0,0.7,1,70,overall_acc_beta_calib,5,1.078429902634796
0,0.7562489789250123,37.385663945522744,0,0.7,1,75,overall_acc_beta_calib,5,1.0788260074424867
0,0.7562489789250123,37.38684812013931,0,0.7,1,80,overall_acc_beta_calib,5,1.0796847643631327
0,0.7562489789250123,37.390400643989025,0,0.7,1,85,overall_acc_beta_calib,5,1.0803759355127365
0,0.7564123509230518,37.39868986630503,0,0.7,1,90,overall_acc_beta_calib,5,1.083633623772105
0,0.7564123509230518,37.39868986630503,0,0.7,1,95,overall_acc_beta_calib,5,1.083464521273663
0,0.7564123509230518,37.39868986630503,0,0.7,1,100,overall_acc_beta_calib,5,1.083483815861597
0,0.5371671295539945,32.58028335147503,0,0.8,1,0,overall_acc_beta_calib,5,0.05598500894132194
0,0.5371671295539945,32.582651700708176,0,0.8,1,5,overall_acc_beta_calib,5,0.08744370702151912
0,0.7593530468877634,37.584605281106775,0,0.8,1,10,overall_acc_beta_calib,5,1.004894936640649
0,0.5804607090344714,33.32276083606545,0,0.8,1,15,overall_acc_beta_calib,5,0.2499600709522145
0,0.7596797908838425,37.656839932717645,0,0.8,1,20,overall_acc_beta_calib,5,1.027874968691206
0,0.7603332788760007,37.701838568147366,0,0.8,1,25,overall_acc_beta_calib,5,1.0394190019874072
0,0.7603332788760007,37.701838568147366,0,0.8,1,30,overall_acc_beta_calib,5,1.0394203833605833
0,0.7604966508740402,37.70775944123022,0,0.8,1,35,overall_acc_beta_calib,5,1.040030857661855
0,0.7608233948701193,37.72433788586223,0,0.8,1,40,overall_acc_beta_calib,5,1.0433261479198201
0,0.7609867668681588,37.72789040971195,0,0.8,1,45,overall_acc_beta_calib,5,1.0437527944283171
0,0.7611501388661983,37.729074584328515,0,0.8,1,50,overall_acc_beta_calib,5,1.044123207889613
0,0.7608233948701193,37.72433788586223,0,0.8,1,55,overall_acc_beta_calib,5,1.0430605507904396
0,0.7609867668681588,37.74920555281023,0,0.8,1,60,overall_acc_beta_calib,5,1.050163758066821
0,0.7613135108642378,37.75394225127652,0,0.8,1,65,overall_acc_beta_calib,5,1.0523638856986355
0,0.7613135108642378,37.75394225127652,0,0.8,1,70,overall_acc_beta_calib,5,1.0523026994340066
0,0.7613135108642378,37.755126425893096,0,0.8,1,75,overall_acc_beta_calib,5,1.0524732502806975
0,0.7613135108642378,37.75867894974281,0,0.8,1,80,overall_acc_beta_calib,5,1.0534382062519103
0,0.7613135108642378,37.75867894974281,0,0.8,1,85,overall_acc_beta_calib,5,1.0534445278412086
0,0.7609867668681588,37.74920555281023,0,0.8,1,90,overall_acc_beta_calib,5,1.050692606422075
0,0.7611501388661983,37.75038972742681,0,0.8,1,95,overall_acc_beta_calib,5,1.0518727517855224
0,0.7613135108642378,37.755126425893096,0,0.8,1,100,overall_acc_beta_calib,5,1.0525536218925076
0,0.5371671295539945,32.58028335147503,0,0.9,1,0,overall_acc_beta_calib,5,0.007800434509286677
0,0.5378206175461526,32.59567762149046,0,0.9,1,5,overall_acc_beta_calib,5,0.09480464251964266
0,0.5371671295539945,32.582651700708176,0,0.9,1,10,overall_acc_beta_calib,5,0.07777428201334265
0,0.7613135108642378,37.75867894974281,0,0.9,1,15,overall_acc_beta_calib,5,0.9366042132843491
0,0.7629472308446332,37.969462031492554,0,0.9,1,20,overall_acc_beta_calib,5,0.9726572423816389
0,0.7636007188367914,38.04643338156971,0,0.9,1,25,overall_acc_beta_calib,5,0.9868360004583111
0,0.7637640908348309,38.08077444545029,0,0.9,1,30,overall_acc_beta_calib,5,0.9932386486436833
0,0.7637640908348309,38.08077444545029,0,0.9,1,35,overall_acc_beta_calib,5,0.9932386486436833
0,0.7637640908348309,38.08077444545029,0,0.9,1,40,overall_acc_beta_calib,5,0.9932386486436833
0,0.7639274628328705,38.11629968394744,0,0.9,1,45,overall_acc_beta_calib,5,1.0006269295220012
0,0.76409083483091,38.131693953962866,0,0.9,1,50,overall_acc_beta_calib,5,1.0041983384296427
0,0.5371671295539945,32.582651700708176,0,0.9,1,55,overall_acc_beta_calib,5,0.0774892760749315
0,0.76409083483091,38.14235152551202,0,0.9,1,60,overall_acc_beta_calib,5,1.006761351356317
0,0.76409083483091,38.14235152551202,0,0.9,1,65,overall_acc_beta_calib,5,1.006761351356317
0,0.76409083483091,38.14235152551202,0,0.9,1,70,overall_acc_beta_calib,5,1.006761351356317
0,0.764417578826989,38.17077171630974,0,0.9,1,75,overall_acc_beta_calib,5,1.01109219797748
0,0.764417578826989,38.17077171630974,0,0.9,1,80,overall_acc_beta_calib,5,1.0109004922863571
0,0.764417578826989,38.17077171630974,0,0.9,1,85,overall_acc_beta_calib,5,1.0108966603435288
0,0.7645809508250286,38.221691224822315,0,0.9,1,90,overall_acc_beta_calib,5,1.0182750840396013
0,0.7645809508250286,38.21932287558917,0,0.9,1,95,overall_acc_beta_calib,5,1.0178312481873213
0,0.7645809508250286,38.22287539943889,0,0.9,1,100,overall_acc_beta_calib,5,1.0183035217869292
0,0.5371671295539945,32.58028335147503,0,0.7,1,0,overall_acc_beta_calib,10,0.009696540154788769
0,0.5371671295539945,32.584285420688566,0,0.7,1,5,overall_acc_beta_calib,10,0.10038368713684903
0,0.561999673256004,33.24462684092244,0,0.7,1,10,overall_acc_beta_calib,10,0.22578291390022254
0,0.5371671295539945,32.584285420688566,0,0.7,1,15,overall_acc_beta_calib,10,0.10109581932278475
0,0.7549420029406959,40.50237935967476,0,0.7,1,20,overall_acc_beta_calib,10,1.0451992323613788
0,0.7551053749387355,40.54039901720338,0,0.7,1,25,overall_acc_beta_calib,10,1.0528921028458296
0,0.7551053749387355,40.54840315563046,0,0.7,1,30,overall_acc_beta_calib,10,1.0551110534357426
0,0.7551053749387355,40.56040936327108,0,0.7,1,35,overall_acc_beta_calib,10,1.0588827814619022
0,0.7551053749387355,40.56040936327108,0,0.7,1,40,overall_acc_beta_calib,10,1.0581132248960445
0,0.7551053749387355,40.56241039787784,0,0.7,1,45,overall_acc_beta_calib,10,1.0590234310185411
0,0.7549420029406959,40.59642798619292,0,0.7,1,50,overall_acc_beta_calib,10,1.0637399179400944
0,0.7549420029406959,40.556407294057536,0,0.7,1,55,overall_acc_beta_calib,10,1.0571739886527005
0,0.7551053749387355,40.57441660551846,0,0.7,1,60,overall_acc_beta_calib,10,1.0608864128902566
0,0.7549420029406959,40.59642798619292,0,0.7,1,65,overall_acc_beta_calib,10,1.0638667642215023
0,0.755268746936775,40.61443729765384,0,0.7,1,70,overall_acc_beta_calib,10,1.0663121503719235
0,0.7554321189348145,40.62444247068769,0,0.7,1,75,overall_acc_beta_calib,10,1.0683547460854872
0,0.7557588629308937,40.64245178214861,0,0.7,1,80,overall_acc_beta_calib,10,1.0700864970766752
0,0.7559222349289332,40.66846523203662,0,0.7,1,85,overall_acc_beta_calib,10,1.0746095528398205
0,0.7559222349289332,40.65846005900277,0,0.7,1,90,overall_acc_beta_calib,10,1.0728638049478345
0,0.7559222349289332,40.66246212821631,0,0.7,1,95,overall_acc_beta_calib,10,1.0739943803542245
0,0.7560856069269727,40.696479716531385,0,0.7,1,100,overall_acc_beta_calib,10,1.077285847919974
0,0.5371671295539945,32.58028335147503,0,0.8,1,0,overall_acc_beta_calib,10,0.05598500894132405
0,0.5371671295539945,32.584285420688566,0,0.8,1,5,overall_acc_beta_calib,10,0.08837980364989342
0,0.5378206175461526,32.60629680136303,0,0.8,1,10,overall_acc_beta_calib,10,0.106875274557629
0,0.759516418885803,41.044659738109246,0,0.8,1,15,overall_acc_beta_calib,10,1.0075026885927856
0,0.5371671295539945,32.584285420688566,0,0.8,1,20,overall_acc_beta_calib,10,0.08801398593384506
0,0.5804607090344714,33.82092480767201,0,0.8,1,25,overall_acc_beta_calib,10,0.24924134717458316
0,0.759843162881882,41.16472181451541,0,0.8,1,30,overall_acc_beta_calib,10,1.028280663759698
0,0.759843162881882,41.16272077990863,0,0.8,1,35,overall_acc_beta_calib,10,1.0282211057120383
0,0.7601699068779612,41.19273629901017,0,0.8,1,40,overall_acc_beta_calib,10,1.0333770588349735
0,0.7604966508740402,41.19873940283048,0,0.8,1,45,overall_acc_beta_calib,10,1.0348785691798594
0,0.7603332788760007,41.232756991145564,0,0.8,1,50,overall_acc_beta_calib,10,1.0391814029658502
0,0.7604966508740402,41.236759060359105,0,0.8,1,55,overall_acc_beta_calib,10,1.0396971661942176
0,0.7603332788760007,41.234758025752335,0,0.8,1,60,overall_acc_beta_calib,10,1.0394614052652222
0,0.7604966508740402,41.24476319878618,0,0.8,1,65,overall_acc_beta_calib,10,1.0400594490719495
0,0.7603332788760007,41.234758025752335,0,0.8,1,70,overall_acc_beta_calib,10,1.0393766687950565
0,0.7608233948701193,41.27277768328095,0,0.8,1,75,overall_acc_beta_calib,10,1.0429535829004133
0,0.7611501388661983,41.282782856314796,0,0.8,1,80,overall_acc_beta_calib,10,1.0443200125947734
0,0.7611501388661983,41.282782856314796,0,0.8,1,85,overall_acc_beta_calib,10,1.044426828609892
0,0.7611501388661983,41.282782856314796,0,0.8,1,90,overall_acc_beta_calib,10,1.0446779930504102
0,0.7611501388661983,41.280781821708025,0,0.8,1,95,overall_acc_beta_calib,10,1.0438804676056164
0,0.7609867668681588,41.314799410023106,0,0.8,1,100,overall_acc_beta_calib,10,1.0501647757461654
